;Scopy version,f4beeb1
;Exported on,Monday March 03/03/2025
;Device,M2K
;Nr of samples,147456
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.180213
1,-0.8191,0.180213
2,-0.819,0.180213
3,-0.8189,0.180213
4,-0.8188,0.180213
5,-0.8187,0.180213
6,-0.8186,0.180213
7,-0.8185,0.180213
8,-0.8184,0.180213
9,-0.8183,0.180213
10,-0.8182,0.180213
11,-0.8181,0.180213
12,-0.818,0.180213
13,-0.8179,0.180213
14,-0.8178,0.180213
15,-0.8177,0.180213
16,-0.8176,0.180213
17,-0.8175,0.180213
18,-0.8174,0.180213
19,-0.8173,0.180213
20,-0.8172,0.180213
21,-0.8171,0.180213
22,-0.817,0.180213
23,-0.8169,0.180213
24,-0.8168,0.180213
25,-0.8167,0.180213
26,-0.8166,0.180213
27,-0.8165,0.180213
28,-0.8164,0.180213
29,-0.8163,0.180213
30,-0.8162,0.180213
31,-0.8161,0.180213
32,-0.816,0.180213
33,-0.8159,0.180213
34,-0.8158,0.180213
35,-0.8157,0.180213
36,-0.8156,0.180213
37,-0.8155,0.180213
38,-0.8154,0.180213
39,-0.8153,0.180213
40,-0.8152,0.180213
41,-0.8151,0.180213
42,-0.815,0.180213
43,-0.8149,0.180213
44,-0.8148,0.180213
45,-0.8147,0.180213
46,-0.8146,0.180213
47,-0.8145,0.180213
48,-0.8144,0.180213
49,-0.8143,0.180213
50,-0.8142,0.180213
51,-0.8141,0.180213
52,-0.814,0.180213
53,-0.8139,0.180213
54,-0.8138,0.180213
55,-0.8137,0.180213
56,-0.8136,0.180213
57,-0.8135,0.180213
58,-0.8134,0.180213
59,-0.8133,0.180213
60,-0.8132,0.180213
61,-0.8131,0.180213
62,-0.813,0.180213
63,-0.8129,0.180213
64,-0.8128,0.180213
65,-0.8127,0.180213
66,-0.8126,0.180213
67,-0.8125,0.180213
68,-0.8124,0.180213
69,-0.8123,0.180213
70,-0.8122,0.180213
71,-0.8121,0.180213
72,-0.812,0.180213
73,-0.8119,0.180213
74,-0.8118,0.180213
75,-0.8117,0.180213
76,-0.8116,0.180213
77,-0.8115,0.180213
78,-0.8114,0.180213
79,-0.8113,0.180213
80,-0.8112,0.180213
81,-0.8111,0.180213
82,-0.811,0.180213
83,-0.8109,0.180213
84,-0.8108,0.180213
85,-0.8107,0.180213
86,-0.8106,0.180213
87,-0.8105,0.180213
88,-0.8104,0.180213
89,-0.8103,0.180213
90,-0.8102,0.180213
91,-0.8101,0.180213
92,-0.81,0.180213
93,-0.8099,0.180213
94,-0.8098,0.180213
95,-0.8097,0.180213
96,-0.8096,0.180213
97,-0.8095,0.180213
98,-0.8094,0.180213
99,-0.8093,0.180213
100,-0.8092,0.180213
101,-0.8091,0.180213
102,-0.809,0.180213
103,-0.8089,0.180213
104,-0.8088,0.180213
105,-0.8087,0.180213
106,-0.8086,0.180213
107,-0.8085,0.180213
108,-0.8084,0.180213
109,-0.8083,0.180213
110,-0.8082,0.180213
111,-0.8081,0.180213
112,-0.808,0.180213
113,-0.8079,0.180213
114,-0.8078,0.180213
115,-0.8077,0.180213
116,-0.8076,0.180213
117,-0.8075,0.180213
118,-0.8074,0.180213
