;Scopy version,f4beeb1
;Exported on,Friday March 07/03/2025
;Device,M2K
;Nr of samples,147456
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.225223
1,-0.8191,0.223567
2,-0.819,0.223567
3,-0.8189,0.223567
4,-0.8188,0.223567
5,-0.8187,0.223567
6,-0.8186,0.223567
7,-0.8185,0.223567
8,-0.8184,0.223567
9,-0.8183,0.223567
10,-0.8182,0.223567
11,-0.8181,0.223567
12,-0.818,0.223567
13,-0.8179,0.223567
14,-0.8178,0.223567
15,-0.8177,0.226879
16,-0.8176,0.223567
17,-0.8175,0.223567
18,-0.8174,0.223567
19,-0.8173,0.225223
20,-0.8172,0.225223
21,-0.8171,0.225223
22,-0.817,0.225223
23,-0.8169,0.225223
24,-0.8168,0.225223
25,-0.8167,0.225223
26,-0.8166,0.225223
27,-0.8165,0.225223
28,-0.8164,0.225223
29,-0.8163,0.225223
30,-0.8162,0.225223
31,-0.8161,0.225223
32,-0.816,0.225223
33,-0.8159,0.225223
34,-0.8158,0.225223
35,-0.8157,0.225223
36,-0.8156,0.225223
37,-0.8155,0.225223
38,-0.8154,0.225223
39,-0.8153,0.225223
40,-0.8152,0.225223
41,-0.8151,0.225223
42,-0.815,0.223567
43,-0.8149,0.223567
44,-0.8148,0.223567
45,-0.8147,0.223567
46,-0.8146,0.223567
47,-0.8145,0.223567
48,-0.8144,0.223567
49,-0.8143,0.223567
50,-0.8142,0.223567
51,-0.8141,0.223567
52,-0.814,0.223567
53,-0.8139,0.223567
54,-0.8138,0.223567
55,-0.8137,0.223567
56,-0.8136,0.223567
57,-0.8135,0.223567
58,-0.8134,0.223567
59,-0.8133,0.223567
60,-0.8132,0.223567
61,-0.8131,0.223567
62,-0.813,0.225223
63,-0.8129,0.225223
64,-0.8128,0.225223
65,-0.8127,0.225223
66,-0.8126,0.225223
67,-0.8125,0.225223
68,-0.8124,0.225223
69,-0.8123,0.225223
70,-0.8122,0.225223
71,-0.8121,0.225223
72,-0.812,0.225223
73,-0.8119,0.225223
74,-0.8118,0.225223
75,-0.8117,0.225223
76,-0.8116,0.225223
77,-0.8115,0.225223
78,-0.8114,0.225223
79,-0.8113,0.225223
80,-0.8112,0.225223
81,-0.8111,0.225223
82,-0.811,0.225223
83,-0.8109,0.225223
84,-0.8108,0.225223
85,-0.8107,0.223567
86,-0.8106,0.223567
87,-0.8105,0.225223
88,-0.8104,0.226879
89,-0.8103,0.223567
90,-0.8102,0.223567
91,-0.8101,0.223567
92,-0.81,0.225223
93,-0.8099,0.225223
94,-0.8098,0.225223
95,-0.8097,0.225223
96,-0.8096,0.223567
97,-0.8095,0.223567
98,-0.8094,0.225223
99,-0.8093,0.225223
100,-0.8092,0.225223
101,-0.8091,0.225223
102,-0.809,0.225223
103,-0.8089,0.225223
104,-0.8088,0.225223
105,-0.8087,0.225223
106,-0.8086,0.225223
107,-0.8085,0.225223
108,-0.8084,0.225223
109,-0.8083,0.225223
110,-0.8082,0.225223
111,-0.8081,0.225223
112,-0.808,0.225223
113,-0.8079,0.225223
114,-0.8078,0.225223
115,-0.8077,0.225223
116,-0.8076,0.225223
117,-0.8075,0.225223
118,-0.8074,0.225223
119,-0.8073,0.225223
120,-0.8072,0.225223
121,-0.8071,0.223567
122,-0.807,0.223567
123,-0.8069,0.223567
124,-0.8068,0.223567
125,-0.8067,0.223567
126,-0.8066,0.223567
127,-0.8065,0.223567
128,-0.8064,0.223567
129,-0.8063,0.223567
130,-0.8062,0.223567
131,-0.8061,0.223567
132,-0.806,0.223567
133,-0.8059,0.223567
134,-0.8058,0.223567
135,-0.8057,0.223567
136,-0.8056,0.223567
137,-0.8055,0.223567
138,-0.8054,0.223567
139,-0.8053,0.223567
140,-0.8052,0.223567
141,-0.8051,0.223567
142,-0.805,0.223567
143,-0.8049,0.223567
144,-0.8048,0.223567
145,-0.8047,0.223567
146,-0.8046,0.223567
147,-0.8045,0.223567
148,-0.8044,0.223567
149,-0.8043,0.223567
150,-0.8042,0.225223
151,-0.8041,0.225223
152,-0.804,0.225223
153,-0.8039,0.225223
154,-0.8038,0.225223
155,-0.8037,0.225223
156,-0.8036,0.225223
157,-0.8035,0.225223
158,-0.8034,0.225223
159,-0.8033,0.225223
160,-0.8032,0.225223
161,-0.8031,0.225223
162,-0.803,0.225223
163,-0.8029,0.223567
164,-0.8028,0.223567
165,-0.8027,0.223567
166,-0.8026,0.223567
167,-0.8025,0.223567
168,-0.8024,0.223567
169,-0.8023,0.226879
170,-0.8022,0.223567
171,-0.8021,0.223567
172,-0.802,0.225223
173,-0.8019,0.225223
174,-0.8018,0.225223
175,-0.8017,0.225223
176,-0.8016,0.225223
177,-0.8015,0.225223
178,-0.8014,0.225223
179,-0.8013,0.225223
180,-0.8012,0.225223
181,-0.8011,0.225223
182,-0.801,0.225223
183,-0.8009,0.225223
184,-0.8008,0.225223
185,-0.8007,0.225223
186,-0.8006,0.225223
187,-0.8005,0.225223
188,-0.8004,0.225223
189,-0.8003,0.225223
190,-0.8002,0.225223
191,-0.8001,0.225223
192,-0.8,0.225223
193,-0.7999,0.225223
194,-0.7998,0.225223
195,-0.7997,0.225223
196,-0.7996,0.225223
197,-0.7995,0.225223
198,-0.7994,0.225223
199,-0.7993,0.225223
200,-0.7992,0.225223
201,-0.7991,0.225223
202,-0.799,0.225223
203,-0.7989,0.223567
204,-0.7988,0.223567
205,-0.7987,0.223567
206,-0.7986,0.223567
207,-0.7985,0.223567
208,-0.7984,0.223567
209,-0.7983,0.223567
210,-0.7982,0.225223
211,-0.7981,0.225223
212,-0.798,0.223567
213,-0.7979,0.223567
214,-0.7978,0.223567
215,-0.7977,0.223567
216,-0.7976,0.223567
217,-0.7975,0.223567
218,-0.7974,0.223567
219,-0.7973,0.226879
220,-0.7972,0.22191
221,-0.7971,0.225223
222,-0.797,0.225223
223,-0.7969,0.225223
224,-0.7968,0.225223
225,-0.7967,0.225223
226,-0.7966,0.225223
227,-0.7965,0.225223
228,-0.7964,0.225223
229,-0.7963,0.225223
230,-0.7962,0.225223
231,-0.7961,0.225223
232,-0.796,0.225223
233,-0.7959,0.225223
234,-0.7958,0.225223
235,-0.7957,0.225223
236,-0.7956,0.225223
237,-0.7955,0.225223
238,-0.7954,0.225223
239,-0.7953,0.225223
240,-0.7952,0.225223
241,-0.7951,0.225223
242,-0.795,0.225223
243,-0.7949,0.225223
244,-0.7948,0.225223
245,-0.7947,0.225223
246,-0.7946,0.225223
247,-0.7945,0.225223
248,-0.7944,0.225223
249,-0.7943,0.225223
250,-0.7942,0.225223
251,-0.7941,0.225223
252,-0.794,0.225223
253,-0.7939,0.225223
254,-0.7938,0.225223
255,-0.7937,0.225223
256,-0.7936,0.225223
257,-0.7935,0.225223
258,-0.7934,0.225223
259,-0.7933,0.225223
260,-0.7932,0.225223
261,-0.7931,0.225223
262,-0.793,0.225223
263,-0.7929,0.225223
264,-0.7928,0.225223
265,-0.7927,0.225223
266,-0.7926,0.225223
267,-0.7925,0.225223
268,-0.7924,0.225223
269,-0.7923,0.225223
270,-0.7922,0.225223
271,-0.7921,0.225223
272,-0.792,0.225223
273,-0.7919,0.225223
274,-0.7918,0.225223
275,-0.7917,0.225223
276,-0.7916,0.225223
277,-0.7915,0.225223
278,-0.7914,0.225223
279,-0.7913,0.225223
280,-0.7912,0.225223
281,-0.7911,0.225223
282,-0.791,0.223567
283,-0.7909,0.223567
284,-0.7908,0.223567
285,-0.7907,0.223567
286,-0.7906,0.223567
287,-0.7905,0.223567
288,-0.7904,0.223567
289,-0.7903,0.225223
290,-0.7902,0.225223
291,-0.7901,0.223567
292,-0.79,0.223567
293,-0.7899,0.223567
294,-0.7898,0.223567
295,-0.7897,0.225223
296,-0.7896,0.225223
297,-0.7895,0.225223
298,-0.7894,0.223567
299,-0.7893,0.225223
300,-0.7892,0.225223
301,-0.7891,0.225223
302,-0.789,0.225223
303,-0.7889,0.225223
304,-0.7888,0.225223
305,-0.7887,0.225223
306,-0.7886,0.225223
307,-0.7885,0.225223
308,-0.7884,0.225223
309,-0.7883,0.225223
310,-0.7882,0.225223
311,-0.7881,0.225223
312,-0.788,0.225223
313,-0.7879,0.225223
314,-0.7878,0.225223
315,-0.7877,0.225223
316,-0.7876,0.225223
317,-0.7875,0.225223
318,-0.7874,0.225223
319,-0.7873,0.225223
320,-0.7872,0.225223
321,-0.7871,0.225223
322,-0.787,0.225223
323,-0.7869,0.225223
324,-0.7868,0.225223
325,-0.7867,0.225223
326,-0.7866,0.225223
327,-0.7865,0.225223
328,-0.7864,0.225223
329,-0.7863,0.225223
330,-0.7862,0.225223
331,-0.7861,0.225223
332,-0.786,0.225223
333,-0.7859,0.225223
334,-0.7858,0.225223
335,-0.7857,0.225223
336,-0.7856,0.225223
337,-0.7855,0.225223
338,-0.7854,0.225223
339,-0.7853,0.225223
340,-0.7852,0.225223
341,-0.7851,0.225223
342,-0.785,0.225223
343,-0.7849,0.225223
344,-0.7848,0.225223
345,-0.7847,0.225223
346,-0.7846,0.225223
347,-0.7845,0.225223
348,-0.7844,0.225223
349,-0.7843,0.225223
350,-0.7842,0.225223
351,-0.7841,0.225223
352,-0.784,0.225223
353,-0.7839,0.225223
354,-0.7838,0.225223
355,-0.7837,0.225223
356,-0.7836,0.225223
357,-0.7835,0.225223
358,-0.7834,0.225223
359,-0.7833,0.225223
360,-0.7832,0.225223
361,-0.7831,0.225223
362,-0.783,0.225223
363,-0.7829,0.225223
364,-0.7828,0.225223
365,-0.7827,0.225223
366,-0.7826,0.225223
367,-0.7825,0.225223
368,-0.7824,0.225223
369,-0.7823,0.225223
370,-0.7822,0.225223
371,-0.7821,0.225223
372,-0.782,0.225223
373,-0.7819,0.225223
374,-0.7818,0.225223
375,-0.7817,0.225223
376,-0.7816,0.225223
377,-0.7815,0.225223
378,-0.7814,0.225223
379,-0.7813,0.225223
380,-0.7812,0.225223
381,-0.7811,0.225223
382,-0.781,0.225223
383,-0.7809,0.225223
384,-0.7808,0.225223
385,-0.7807,0.225223
386,-0.7806,0.225223
387,-0.7805,0.225223
388,-0.7804,0.225223
389,-0.7803,0.225223
390,-0.7802,0.225223
391,-0.7801,0.225223
392,-0.78,0.225223
393,-0.7799,0.225223
394,-0.7798,0.225223
395,-0.7797,0.225223
396,-0.7796,0.225223
397,-0.7795,0.225223
398,-0.7794,0.225223
399,-0.7793,0.225223
400,-0.7792,0.225223
401,-0.7791,0.225223
402,-0.779,0.225223
403,-0.7789,0.225223
404,-0.7788,0.225223
405,-0.7787,0.225223
406,-0.7786,0.225223
407,-0.7785,0.225223
408,-0.7784,0.225223
409,-0.7783,0.225223
410,-0.7782,0.225223
411,-0.7781,0.225223
412,-0.778,0.225223
413,-0.7779,0.225223
414,-0.7778,0.225223
415,-0.7777,0.225223
416,-0.7776,0.225223
417,-0.7775,0.225223
418,-0.7774,0.225223
419,-0.7773,0.225223
420,-0.7772,0.225223
421,-0.7771,0.225223
422,-0.777,0.225223
423,-0.7769,0.225223
424,-0.7768,0.225223
425,-0.7767,0.225223
426,-0.7766,0.225223
427,-0.7765,0.225223
428,-0.7764,0.225223
429,-0.7763,0.225223
430,-0.7762,0.225223
431,-0.7761,0.225223
432,-0.776,0.225223
433,-0.7759,0.225223
434,-0.7758,0.225223
435,-0.7757,0.225223
436,-0.7756,0.225223
437,-0.7755,0.225223
438,-0.7754,0.225223
439,-0.7753,0.225223
440,-0.7752,0.223567
441,-0.7751,0.223567
442,-0.775,0.223567
443,-0.7749,0.223567
444,-0.7748,0.223567
445,-0.7747,0.223567
446,-0.7746,0.223567
447,-0.7745,0.223567
448,-0.7744,0.223567
449,-0.7743,0.223567
450,-0.7742,0.223567
451,-0.7741,0.223567
452,-0.774,0.223567
453,-0.7739,0.223567
454,-0.7738,0.223567
455,-0.7737,0.223567
456,-0.7736,0.223567
457,-0.7735,0.223567
458,-0.7734,0.223567
459,-0.7733,0.223567
460,-0.7732,0.223567
461,-0.7731,0.223567
462,-0.773,0.223567
463,-0.7729,0.223567
464,-0.7728,0.223567
465,-0.7727,0.223567
466,-0.7726,0.223567
467,-0.7725,0.223567
468,-0.7724,0.223567
469,-0.7723,0.223567
470,-0.7722,0.223567
471,-0.7721,0.223567
472,-0.772,0.223567
473,-0.7719,0.223567
474,-0.7718,0.223567
475,-0.7717,0.223567
476,-0.7716,0.225223
477,-0.7715,0.225223
478,-0.7714,0.223567
479,-0.7713,0.223567
480,-0.7712,0.223567
481,-0.7711,0.223567
482,-0.771,0.223567
483,-0.7709,0.223567
484,-0.7708,0.223567
485,-0.7707,0.223567
486,-0.7706,0.223567
487,-0.7705,0.223567
488,-0.7704,0.223567
489,-0.7703,0.223567
490,-0.7702,0.223567
491,-0.7701,0.223567
492,-0.77,0.223567
493,-0.7699,0.223567
494,-0.7698,0.223567
495,-0.7697,0.223567
496,-0.7696,0.223567
497,-0.7695,0.223567
498,-0.7694,0.223567
499,-0.7693,0.223567
500,-0.7692,0.223567
501,-0.7691,0.223567
502,-0.769,0.223567
503,-0.7689,0.223567
504,-0.7688,0.223567
505,-0.7687,0.223567
506,-0.7686,0.225223
507,-0.7685,0.223567
508,-0.7684,0.226879
509,-0.7683,0.225223
510,-0.7682,0.225223
511,-0.7681,0.225223
512,-0.768,0.225223
513,-0.7679,0.225223
514,-0.7678,0.225223
515,-0.7677,0.225223
516,-0.7676,0.225223
517,-0.7675,0.225223
518,-0.7674,0.225223
519,-0.7673,0.225223
520,-0.7672,0.223567
521,-0.7671,0.223567
522,-0.767,0.223567
523,-0.7669,0.223567
524,-0.7668,0.223567
525,-0.7667,0.223567
526,-0.7666,0.223567
527,-0.7665,0.223567
528,-0.7664,0.223567
529,-0.7663,0.223567
530,-0.7662,0.223567
531,-0.7661,0.223567
532,-0.766,0.223567
533,-0.7659,0.223567
534,-0.7658,0.223567
535,-0.7657,0.223567
536,-0.7656,0.223567
537,-0.7655,0.223567
538,-0.7654,0.223567
539,-0.7653,0.223567
540,-0.7652,0.223567
541,-0.7651,0.223567
542,-0.765,0.225223
543,-0.7649,0.223567
544,-0.7648,0.223567
545,-0.7647,0.223567
546,-0.7646,0.223567
547,-0.7645,0.223567
548,-0.7644,0.225223
549,-0.7643,0.225223
550,-0.7642,0.225223
551,-0.7641,0.225223
552,-0.764,0.225223
553,-0.7639,0.225223
554,-0.7638,0.225223
555,-0.7637,0.225223
556,-0.7636,0.225223
557,-0.7635,0.225223
558,-0.7634,0.225223
559,-0.7633,0.225223
560,-0.7632,0.223567
561,-0.7631,0.223567
562,-0.763,0.223567
563,-0.7629,0.223567
564,-0.7628,0.223567
565,-0.7627,0.223567
566,-0.7626,0.223567
567,-0.7625,0.223567
568,-0.7624,0.225223
569,-0.7623,0.225223
570,-0.7622,0.223567
571,-0.7621,0.225223
572,-0.762,0.223567
573,-0.7619,0.223567
574,-0.7618,0.223567
575,-0.7617,0.223567
576,-0.7616,0.223567
577,-0.7615,0.223567
578,-0.7614,0.225223
579,-0.7613,0.225223
580,-0.7612,0.225223
581,-0.7611,0.225223
582,-0.761,0.225223
583,-0.7609,0.225223
584,-0.7608,0.225223
585,-0.7607,0.225223
586,-0.7606,0.225223
587,-0.7605,0.225223
588,-0.7604,0.225223
589,-0.7603,0.225223
590,-0.7602,0.225223
591,-0.7601,0.225223
592,-0.76,0.225223
593,-0.7599,0.225223
594,-0.7598,0.225223
595,-0.7597,0.225223
596,-0.7596,0.225223
597,-0.7595,0.225223
598,-0.7594,0.225223
599,-0.7593,0.225223
600,-0.7592,0.223567
601,-0.7591,0.223567
602,-0.759,0.223567
603,-0.7589,0.223567
604,-0.7588,0.223567
605,-0.7587,0.223567
606,-0.7586,0.223567
607,-0.7585,0.223567
608,-0.7584,0.223567
609,-0.7583,0.223567
610,-0.7582,0.223567
611,-0.7581,0.223567
612,-0.758,0.223567
613,-0.7579,0.223567
614,-0.7578,0.223567
615,-0.7577,0.223567
616,-0.7576,0.223567
617,-0.7575,0.223567
618,-0.7574,0.223567
619,-0.7573,0.223567
620,-0.7572,0.223567
621,-0.7571,0.223567
622,-0.757,0.223567
623,-0.7569,0.223567
624,-0.7568,0.223567
625,-0.7567,0.223567
626,-0.7566,0.223567
627,-0.7565,0.223567
628,-0.7564,0.225223
629,-0.7563,0.225223
630,-0.7562,0.225223
631,-0.7561,0.225223
632,-0.756,0.225223
633,-0.7559,0.225223
634,-0.7558,0.225223
635,-0.7557,0.225223
636,-0.7556,0.225223
637,-0.7555,0.225223
638,-0.7554,0.225223
639,-0.7553,0.225223
640,-0.7552,0.225223
641,-0.7551,0.225223
642,-0.755,0.225223
643,-0.7549,0.225223
644,-0.7548,0.223567
645,-0.7547,0.223567
646,-0.7546,0.223567
647,-0.7545,0.223567
648,-0.7544,0.223567
649,-0.7543,0.223567
650,-0.7542,0.223567
651,-0.7541,0.225223
652,-0.754,0.225223
653,-0.7539,0.225223
654,-0.7538,0.225223
655,-0.7537,0.225223
656,-0.7536,0.225223
657,-0.7535,0.225223
658,-0.7534,0.225223
659,-0.7533,0.225223
660,-0.7532,0.225223
661,-0.7531,0.225223
662,-0.753,0.225223
663,-0.7529,0.225223
664,-0.7528,0.225223
665,-0.7527,0.225223
666,-0.7526,0.225223
667,-0.7525,0.225223
668,-0.7524,0.225223
669,-0.7523,0.225223
670,-0.7522,0.225223
671,-0.7521,0.225223
672,-0.752,0.225223
673,-0.7519,0.225223
674,-0.7518,0.225223
675,-0.7517,0.225223
676,-0.7516,0.225223
677,-0.7515,0.225223
678,-0.7514,0.225223
679,-0.7513,0.225223
680,-0.7512,0.225223
681,-0.7511,0.225223
682,-0.751,0.223567
683,-0.7509,0.223567
684,-0.7508,0.223567
685,-0.7507,0.223567
686,-0.7506,0.223567
687,-0.7505,0.223567
688,-0.7504,0.223567
689,-0.7503,0.223567
690,-0.7502,0.225223
691,-0.7501,0.225223
692,-0.75,0.225223
693,-0.7499,0.225223
694,-0.7498,0.223567
695,-0.7497,0.223567
696,-0.7496,0.223567
697,-0.7495,0.225223
698,-0.7494,0.225223
699,-0.7493,0.225223
700,-0.7492,0.225223
701,-0.7491,0.225223
702,-0.749,0.225223
703,-0.7489,0.225223
704,-0.7488,0.225223
705,-0.7487,0.225223
706,-0.7486,0.225223
707,-0.7485,0.225223
708,-0.7484,0.225223
709,-0.7483,0.225223
710,-0.7482,0.225223
711,-0.7481,0.225223
712,-0.748,0.225223
713,-0.7479,0.225223
714,-0.7478,0.225223
715,-0.7477,0.225223
716,-0.7476,0.225223
717,-0.7475,0.225223
718,-0.7474,0.225223
719,-0.7473,0.225223
720,-0.7472,0.225223
721,-0.7471,0.225223
722,-0.747,0.225223
723,-0.7469,0.225223
724,-0.7468,0.225223
725,-0.7467,0.225223
726,-0.7466,0.225223
727,-0.7465,0.225223
728,-0.7464,0.225223
729,-0.7463,0.225223
730,-0.7462,0.223567
731,-0.7461,0.223567
732,-0.746,0.225223
733,-0.7459,0.225223
734,-0.7458,0.225223
735,-0.7457,0.225223
736,-0.7456,0.223567
737,-0.7455,0.223567
738,-0.7454,0.225223
739,-0.7453,0.225223
740,-0.7452,0.225223
741,-0.7451,0.225223
742,-0.745,0.225223
743,-0.7449,0.225223
744,-0.7448,0.225223
745,-0.7447,0.225223
746,-0.7446,0.225223
747,-0.7445,0.225223
748,-0.7444,0.225223
749,-0.7443,0.225223
750,-0.7442,0.225223
751,-0.7441,0.225223
752,-0.744,0.225223
753,-0.7439,0.225223
754,-0.7438,0.225223
755,-0.7437,0.225223
756,-0.7436,0.225223
757,-0.7435,0.225223
758,-0.7434,0.225223
759,-0.7433,0.223567
760,-0.7432,0.223567
761,-0.7431,0.223567
762,-0.743,0.223567
763,-0.7429,0.223567
764,-0.7428,0.223567
765,-0.7427,0.223567
766,-0.7426,0.223567
767,-0.7425,0.223567
768,-0.7424,0.223567
769,-0.7423,0.223567
770,-0.7422,0.223567
771,-0.7421,0.223567
772,-0.742,0.223567
773,-0.7419,0.223567
774,-0.7418,0.223567
775,-0.7417,0.223567
776,-0.7416,0.223567
777,-0.7415,0.223567
778,-0.7414,0.223567
779,-0.7413,0.223567
