;Scopy version,f4beeb1
;Exported on,Friday February 14/02/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-8.192,0.225133
1,-8.191,0.225133
2,-8.19,0.225133
3,-8.189,0.225133
4,-8.188,0.225133
5,-8.187,0.226872
6,-8.186,0.223394
7,-8.185,0.225133
8,-8.184,0.223394
9,-8.183,0.226872
10,-8.182,0.225133
11,-8.181,0.225133
12,-8.18,0.225133
13,-8.179,0.225133
14,-8.178,0.225133
15,-8.177,0.225133
16,-8.176,0.225133
17,-8.175,0.225133
18,-8.174,0.225133
19,-8.173,0.225133
20,-8.172,0.225133
21,-8.171,0.225133
22,-8.17,0.225133
23,-8.169,0.225133
24,-8.168,0.225133
25,-8.167,0.225133
26,-8.166,0.225133
27,-8.165,0.225133
28,-8.164,0.225133
29,-8.163,0.225133
30,-8.162,0.225133
31,-8.161,0.225133
32,-8.16,0.225133
33,-8.159,0.225133
34,-8.158,0.225133
35,-8.157,0.225133
36,-8.156,0.225133
37,-8.155,0.225133
38,-8.154,0.225133
39,-8.153,0.225133
40,-8.152,0.225133
41,-8.151,0.225133
42,-8.15,0.225133
43,-8.149,0.225133
44,-8.148,0.225133
45,-8.147,0.225133
46,-8.146,0.225133
47,-8.145,0.225133
48,-8.144,0.225133
49,-8.143,0.225133
50,-8.142,0.225133
51,-8.141,0.225133
52,-8.14,0.225133
53,-8.139,0.225133
54,-8.138,0.225133
55,-8.137,0.225133
56,-8.136,0.225133
57,-8.135,0.225133
58,-8.134,0.225133
59,-8.133,0.225133
60,-8.132,0.225133
61,-8.131,0.225133
62,-8.13,0.225133
63,-8.129,0.225133
64,-8.128,0.225133
65,-8.127,0.228611
66,-8.126,0.225133
67,-8.125,0.225133
68,-8.124,0.225133
69,-8.123,0.225133
70,-8.122,0.225133
71,-8.121,0.226872
72,-8.12,0.226872
73,-8.119,0.226872
74,-8.118,0.225133
75,-8.117,0.225133
76,-8.116,0.225133
77,-8.115,0.225133
78,-8.114,0.225133
79,-8.113,0.225133
80,-8.112,0.225133
81,-8.111,0.221655
82,-8.11,0.218177
83,-8.109,0.218177
84,-8.108,0.218177
85,-8.107,0.218177
86,-8.106,0.218177
87,-8.105,0.218177
88,-8.104,0.218177
89,-8.103,0.218177
90,-8.102,0.218177
91,-8.101,0.218177
92,-8.1,0.218177
93,-8.099,0.218177
94,-8.098,0.218177
95,-8.097,0.218177
96,-8.096,0.218177
97,-8.095,0.218177
98,-8.094,0.218177
99,-8.093,0.218177
100,-8.092,0.218177
101,-8.091,0.218177
102,-8.09,0.218177
103,-8.089,0.218177
104,-8.088,0.218177
105,-8.087,0.218177
106,-8.086,0.218177
107,-8.085,0.218177
108,-8.084,0.218177
109,-8.083,0.218177
110,-8.082,0.218177
111,-8.081,0.218177
112,-8.08,0.218177
113,-8.079,0.218177
114,-8.078,0.218177
115,-8.077,0.218177
116,-8.076,0.218177
117,-8.075,0.218177
118,-8.074,0.218177
119,-8.073,0.218177
120,-8.072,0.218177
121,-8.071,0.218177
122,-8.07,0.218177
123,-8.069,0.218177
124,-8.068,0.218177
125,-8.067,0.218177
126,-8.066,0.218177
127,-8.065,0.218177
128,-8.064,0.218177
129,-8.063,0.218177
130,-8.062,0.218177
131,-8.061,0.218177
132,-8.06,0.218177
133,-8.059,0.218177
134,-8.058,0.218177
135,-8.057,0.218177
136,-8.056,0.218177
137,-8.055,0.218177
138,-8.054,0.218177
139,-8.053,0.218177
140,-8.052,0.218177
141,-8.051,0.218177
142,-8.05,0.218177
143,-8.049,0.218177
144,-8.048,0.218177
145,-8.047,0.218177
146,-8.046,0.218177
147,-8.045,0.218177
148,-8.044,0.218177
149,-8.043,0.218177
150,-8.042,0.218177
151,-8.041,0.218177
152,-8.04,0.218177
153,-8.039,0.218177
154,-8.038,0.218177
155,-8.037,0.218177
156,-8.036,0.218177
157,-8.035,0.218177
158,-8.034,0.218177
159,-8.033,0.218177
160,-8.032,0.218177
161,-8.031,0.218177
162,-8.03,0.218177
163,-8.029,0.218177
164,-8.028,0.218177
165,-8.027,0.218177
166,-8.026,0.218177
167,-8.025,0.218177
168,-8.024,0.218177
169,-8.023,0.218177
170,-8.022,0.218177
171,-8.021,0.218177
172,-8.02,0.218177
173,-8.019,0.218177
174,-8.018,0.218177
175,-8.017,0.218177
176,-8.016,0.218177
177,-8.015,0.218177
178,-8.014,0.218177
179,-8.013,0.218177
180,-8.012,0.218177
181,-8.011,0.218177
182,-8.01,0.218177
183,-8.009,0.218177
184,-8.008,0.216439
185,-8.007,0.219916
186,-8.006,0.218177
187,-8.005,0.218177
188,-8.004,0.218177
189,-8.003,0.218177
190,-8.002,0.218177
191,-8.001,0.218177
192,-8,0.219916
193,-7.999,0.219916
194,-7.998,0.218177
195,-7.997,0.218177
196,-7.996,0.218177
197,-7.995,0.219916
198,-7.994,0.219916
199,-7.993,0.219916
200,-7.992,0.219916
201,-7.991,0.219916
202,-7.99,0.218177
203,-7.989,0.218177
204,-7.988,0.218177
205,-7.987,0.218177
206,-7.986,0.218177
207,-7.985,0.218177
208,-7.984,0.218177
209,-7.983,0.218177
210,-7.982,0.218177
211,-7.981,0.218177
212,-7.98,0.218177
213,-7.979,0.218177
214,-7.978,0.218177
215,-7.977,0.218177
216,-7.976,0.218177
217,-7.975,0.218177
218,-7.974,0.218177
219,-7.973,0.218177
220,-7.972,0.218177
221,-7.971,0.218177
222,-7.97,0.218177
223,-7.969,0.218177
224,-7.968,0.218177
225,-7.967,0.218177
226,-7.966,0.218177
227,-7.965,0.218177
228,-7.964,0.218177
229,-7.963,0.218177
230,-7.962,0.218177
231,-7.961,0.218177
232,-7.96,0.218177
233,-7.959,0.218177
234,-7.958,0.218177
235,-7.957,0.218177
236,-7.956,0.218177
237,-7.955,0.218177
238,-7.954,0.218177
239,-7.953,0.218177
240,-7.952,0.218177
241,-7.951,0.218177
242,-7.95,0.218177
243,-7.949,0.218177
244,-7.948,0.218177
245,-7.947,0.218177
246,-7.946,0.218177
247,-7.945,0.218177
248,-7.944,0.218177
249,-7.943,0.218177
250,-7.942,0.218177
251,-7.941,0.218177
252,-7.94,0.218177
253,-7.939,0.218177
254,-7.938,0.218177
255,-7.937,0.218177
256,-7.936,0.219916
257,-7.935,0.219916
258,-7.934,0.218177
259,-7.933,0.218177
260,-7.932,0.218177
261,-7.931,0.219916
262,-7.93,0.219916
263,-7.929,0.219916
264,-7.928,0.219916
265,-7.927,0.219916
266,-7.926,0.218177
267,-7.925,0.218177
268,-7.924,0.218177
269,-7.923,0.218177
270,-7.922,0.218177
271,-7.921,0.218177
272,-7.92,0.218177
273,-7.919,0.218177
274,-7.918,0.218177
275,-7.917,0.218177
276,-7.916,0.218177
277,-7.915,0.218177
278,-7.914,0.218177
279,-7.913,0.218177
280,-7.912,0.218177
281,-7.911,0.218177
282,-7.91,0.219916
283,-7.909,0.223394
284,-7.908,0.223394
285,-7.907,0.225133
286,-7.906,0.223394
287,-7.905,0.223394
288,-7.904,0.225133
289,-7.903,0.225133
290,-7.902,0.223394
291,-7.901,0.223394
292,-7.9,0.223394
293,-7.899,0.225133
294,-7.898,0.223394
295,-7.897,0.225133
296,-7.896,0.225133
297,-7.895,0.225133
298,-7.894,0.223394
299,-7.893,0.223394
300,-7.892,0.223394
301,-7.891,0.226872
302,-7.89,0.223394
303,-7.889,0.223394
304,-7.888,0.225133
305,-7.887,0.225133
306,-7.886,0.223394
307,-7.885,0.223394
308,-7.884,0.223394
309,-7.883,0.225133
310,-7.882,0.225133
311,-7.881,0.225133
312,-7.88,0.225133
313,-7.879,0.225133
314,-7.878,0.223394
315,-7.877,0.223394
316,-7.876,0.225133
317,-7.875,0.225133
318,-7.874,0.225133
319,-7.873,0.225133
320,-7.872,0.225133
321,-7.871,0.225133
322,-7.87,0.225133
323,-7.869,0.225133
324,-7.868,0.225133
325,-7.867,0.225133
326,-7.866,0.225133
327,-7.865,0.225133
328,-7.864,0.225133
329,-7.863,0.225133
330,-7.862,0.223394
331,-7.861,0.223394
332,-7.86,0.223394
333,-7.859,0.225133
334,-7.858,0.221655
335,-7.857,0.223394
336,-7.856,0.225133
337,-7.855,0.225133
338,-7.854,0.223394
339,-7.853,0.223394
340,-7.852,0.223394
341,-7.851,0.225133
342,-7.85,0.225133
343,-7.849,0.225133
344,-7.848,0.225133
345,-7.847,0.225133
346,-7.846,0.223394
347,-7.845,0.223394
348,-7.844,0.223394
349,-7.843,0.226872
350,-7.842,0.223394
351,-7.841,0.223394
352,-7.84,0.225133
353,-7.839,0.225133
354,-7.838,0.223394
355,-7.837,0.223394
356,-7.836,0.225133
357,-7.835,0.225133
358,-7.834,0.225133
359,-7.833,0.225133
360,-7.832,0.225133
361,-7.831,0.225133
362,-7.83,0.223394
363,-7.829,0.223394
364,-7.828,0.223394
365,-7.827,0.225133
366,-7.826,0.223394
367,-7.825,0.225133
368,-7.824,0.225133
369,-7.823,0.225133
370,-7.822,0.225133
371,-7.821,0.225133
372,-7.82,0.225133
373,-7.819,0.225133
374,-7.818,0.225133
375,-7.817,0.225133
376,-7.816,0.225133
377,-7.815,0.225133
378,-7.814,0.225133
379,-7.813,0.225133
380,-7.812,0.225133
381,-7.811,0.225133
382,-7.81,0.225133
383,-7.809,0.225133
384,-7.808,0.225133
385,-7.807,0.225133
386,-7.806,0.225133
387,-7.805,0.225133
388,-7.804,0.225133
389,-7.803,0.225133
390,-7.802,0.225133
391,-7.801,0.225133
392,-7.8,0.225133
393,-7.799,0.225133
394,-7.798,0.223394
395,-7.797,0.223394
396,-7.796,0.223394
397,-7.795,0.225133
398,-7.794,0.221655
399,-7.793,0.223394
400,-7.792,0.225133
401,-7.791,0.225133
402,-7.79,0.223394
403,-7.789,0.223394
404,-7.788,0.223394
405,-7.787,0.225133
406,-7.786,0.225133
407,-7.785,0.225133
408,-7.784,0.225133
409,-7.783,0.225133
410,-7.782,0.223394
411,-7.781,0.223394
412,-7.78,0.223394
413,-7.779,0.225133
414,-7.778,0.223394
415,-7.777,0.223394
416,-7.776,0.225133
417,-7.775,0.225133
418,-7.774,0.223394
419,-7.773,0.223394
420,-7.772,0.225133
421,-7.771,0.225133
422,-7.77,0.225133
423,-7.769,0.225133
424,-7.768,0.225133
425,-7.767,0.225133
426,-7.766,0.223394
427,-7.765,0.223394
428,-7.764,0.223394
429,-7.763,0.225133
430,-7.762,0.225133
431,-7.761,0.225133
432,-7.76,0.225133
433,-7.759,0.225133
434,-7.758,0.223394
435,-7.757,0.225133
436,-7.756,0.225133
437,-7.755,0.225133
438,-7.754,0.225133
439,-7.753,0.225133
440,-7.752,0.225133
441,-7.751,0.225133
442,-7.75,0.225133
443,-7.749,0.225133
444,-7.748,0.225133
445,-7.747,0.225133
446,-7.746,0.225133
447,-7.745,0.225133
448,-7.744,0.225133
449,-7.743,0.225133
450,-7.742,0.225133
451,-7.741,0.225133
452,-7.74,0.225133
453,-7.739,0.225133
454,-7.738,0.225133
455,-7.737,0.225133
456,-7.736,0.225133
457,-7.735,0.225133
458,-7.734,0.223394
459,-7.733,0.223394
460,-7.732,0.223394
461,-7.731,0.225133
462,-7.73,0.225133
463,-7.729,0.225133
464,-7.728,0.225133
465,-7.727,0.225133
466,-7.726,0.223394
467,-7.725,0.223394
468,-7.724,0.223394
469,-7.723,0.225133
470,-7.722,0.225133
471,-7.721,0.225133
472,-7.72,0.225133
473,-7.719,0.225133
474,-7.718,0.223394
475,-7.717,0.223394
476,-7.716,0.223394
477,-7.715,0.225133
478,-7.714,0.223394
479,-7.713,0.225133
480,-7.712,0.225133
481,-7.711,0.225133
482,-7.71,0.225133
483,-7.709,0.219916
484,-7.708,0.218177
485,-7.707,0.218177
486,-7.706,0.218177
487,-7.705,0.218177
488,-7.704,0.218177
489,-7.703,0.218177
490,-7.702,0.218177
491,-7.701,0.218177
492,-7.7,0.218177
493,-7.699,0.218177
494,-7.698,0.218177
495,-7.697,0.218177
496,-7.696,0.218177
497,-7.695,0.218177
498,-7.694,0.218177
499,-7.693,0.218177
500,-7.692,0.218177
501,-7.691,0.218177
502,-7.69,0.218177
503,-7.689,0.218177
504,-7.688,0.218177
505,-7.687,0.218177
506,-7.686,0.218177
507,-7.685,0.218177
508,-7.684,0.218177
509,-7.683,0.218177
510,-7.682,0.218177
511,-7.681,0.218177
512,-7.68,0.218177
513,-7.679,0.218177
514,-7.678,0.218177
515,-7.677,0.218177
516,-7.676,0.218177
517,-7.675,0.218177
518,-7.674,0.218177
519,-7.673,0.218177
520,-7.672,0.218177
521,-7.671,0.218177
522,-7.67,0.218177
523,-7.669,0.216439
524,-7.668,0.216439
525,-7.667,0.218177
526,-7.666,0.218177
527,-7.665,0.218177
528,-7.664,0.218177
529,-7.663,0.218177
530,-7.662,0.218177
531,-7.661,0.2147
532,-7.66,0.218177
533,-7.659,0.218177
534,-7.658,0.218177
535,-7.657,0.218177
536,-7.656,0.218177
537,-7.655,0.218177
538,-7.654,0.218177
539,-7.653,0.218177
540,-7.652,0.218177
541,-7.651,0.218177
542,-7.65,0.218177
543,-7.649,0.218177
