;Scopy version,f4beeb1
;Exported on,mercredi décembre 11/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4,0.0730317
1,-3.999,0.069554
2,-3.998,0.137369
3,-3.997,0.159974
4,-3.996,0.147802
5,-3.995,0.10607
6,-3.994,0.069554
7,-3.993,0.0712929
8,-3.992,0.0712929
9,-3.991,0.0712929
10,-3.99,0.0712929
11,-3.989,0.0712929
12,-3.988,0.0712929
13,-3.987,0.0712929
14,-3.986,0.0712929
15,-3.985,0.0712929
16,-3.984,0.0712929
17,-3.983,0.0712929
18,-3.982,0.0712929
19,-3.981,0.0712929
20,-3.98,0.0712929
21,-3.979,0.0712929
22,-3.978,0.0712929
23,-3.977,0.0712929
24,-3.976,0.0712929
25,-3.975,0.0712929
26,-3.974,0.0712929
27,-3.973,0.0712929
28,-3.972,0.0712929
29,-3.971,0.0712929
30,-3.97,0.0712929
31,-3.969,0.0712929
32,-3.968,0.0712929
33,-3.967,0.0712929
34,-3.966,0.0712929
35,-3.965,0.0712929
36,-3.964,0.0712929
37,-3.963,0.0712929
38,-3.962,0.0712929
39,-3.961,0.0712929
40,-3.96,0.0712929
41,-3.959,0.0712929
42,-3.958,0.0712929
43,-3.957,0.0712929
44,-3.956,0.0712929
45,-3.955,0.0712929
46,-3.954,0.0712929
47,-3.953,0.0712929
48,-3.952,0.0712929
49,-3.951,0.0712929
50,-3.95,0.0712929
51,-3.949,0.0712929
52,-3.948,0.0712929
53,-3.947,0.0712929
54,-3.946,0.0712929
55,-3.945,0.0712929
56,-3.944,0.0712929
57,-3.943,0.0712929
58,-3.942,0.0712929
59,-3.941,0.0712929
60,-3.94,0.0712929
61,-3.939,0.0712929
62,-3.938,0.0712929
63,-3.937,0.0712929
64,-3.936,0.0712929
65,-3.935,0.0712929
66,-3.934,0.0712929
67,-3.933,0.0712929
68,-3.932,0.0712929
69,-3.931,0.0712929
70,-3.93,0.0712929
71,-3.929,0.0712929
72,-3.928,0.0712929
73,-3.927,0.0712929
74,-3.926,0.0712929
75,-3.925,0.0730317
76,-3.924,0.069554
77,-3.923,0.139108
78,-3.922,0.161713
79,-3.921,0.146063
80,-3.92,0.10607
81,-3.919,0.069554
82,-3.918,0.0712929
83,-3.917,0.0712929
84,-3.916,0.0712929
85,-3.915,0.0712929
86,-3.914,0.0712929
87,-3.913,0.0712929
88,-3.912,0.0712929
89,-3.911,0.0712929
90,-3.91,0.0712929
91,-3.909,0.0712929
92,-3.908,0.0712929
93,-3.907,0.0712929
94,-3.906,0.0712929
95,-3.905,0.0712929
96,-3.904,0.0712929
97,-3.903,0.0712929
98,-3.902,0.0712929
99,-3.901,0.0712929
100,-3.9,0.0712929
101,-3.899,0.0712929
102,-3.898,0.0712929
103,-3.897,0.0712929
104,-3.896,0.0712929
105,-3.895,0.0712929
106,-3.894,0.0712929
107,-3.893,0.0712929
108,-3.892,0.0712929
109,-3.891,0.0712929
110,-3.89,0.0712929
111,-3.889,0.0712929
112,-3.888,0.0712929
113,-3.887,0.0712929
114,-3.886,0.0712929
115,-3.885,0.0712929
116,-3.884,0.0712929
117,-3.883,0.0712929
118,-3.882,0.0712929
119,-3.881,0.0712929
120,-3.88,0.0712929
121,-3.879,0.0712929
122,-3.878,0.0712929
123,-3.877,0.0712929
124,-3.876,0.0712929
125,-3.875,0.0712929
126,-3.874,0.0712929
127,-3.873,0.0712929
128,-3.872,0.0712929
129,-3.871,0.0712929
130,-3.87,0.0712929
131,-3.869,0.0712929
132,-3.868,0.0712929
133,-3.867,0.0712929
134,-3.866,0.0712929
135,-3.865,0.0712929
136,-3.864,0.0712929
137,-3.863,0.0712929
138,-3.862,0.0712929
139,-3.861,0.0712929
140,-3.86,0.0712929
141,-3.859,0.0712929
142,-3.858,0.0712929
143,-3.857,0.0712929
144,-3.856,0.0712929
145,-3.855,0.0712929
146,-3.854,0.0712929
147,-3.853,0.0712929
148,-3.852,0.0712929
149,-3.851,0.0712929
150,-3.85,0.0730317
151,-3.849,0.069554
152,-3.848,0.139108
153,-3.847,0.159974
154,-3.846,0.147802
155,-3.845,0.102592
156,-3.844,0.0712929
157,-3.843,0.0712929
158,-3.842,0.0712929
159,-3.841,0.0712929
160,-3.84,0.0712929
161,-3.839,0.0712929
162,-3.838,0.0712929
163,-3.837,0.0712929
164,-3.836,0.0712929
165,-3.835,0.0712929
166,-3.834,0.0712929
167,-3.833,0.0712929
168,-3.832,0.0712929
169,-3.831,0.0712929
170,-3.83,0.0712929
171,-3.829,0.0712929
172,-3.828,0.0712929
173,-3.827,0.0712929
174,-3.826,0.0712929
175,-3.825,0.0712929
176,-3.824,0.0712929
177,-3.823,0.0712929
178,-3.822,0.0712929
179,-3.821,0.0712929
180,-3.82,0.0712929
181,-3.819,0.0712929
182,-3.818,0.0712929
183,-3.817,0.0712929
184,-3.816,0.0712929
185,-3.815,0.0712929
186,-3.814,0.0712929
187,-3.813,0.0712929
188,-3.812,0.0712929
189,-3.811,0.0712929
190,-3.81,0.0712929
191,-3.809,0.0712929
192,-3.808,0.0712929
193,-3.807,0.0712929
194,-3.806,0.0712929
195,-3.805,0.0712929
