;Scopy version,f4beeb1
;Exported on,mercredi décembre 11/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4,0.206923
1,-3.999,0.206923
2,-3.998,0.206923
3,-3.997,0.206923
4,-3.996,0.206923
5,-3.995,0.206923
6,-3.994,0.206923
7,-3.993,0.206923
8,-3.992,0.206923
9,-3.991,0.206923
10,-3.99,0.206923
11,-3.989,0.206923
12,-3.988,0.206923
13,-3.987,0.206923
14,-3.986,0.206923
15,-3.985,0.206923
16,-3.984,0.206923
17,-3.983,0.206923
18,-3.982,0.206923
19,-3.981,0.206923
20,-3.98,0.206923
21,-3.979,0.206923
22,-3.978,0.206923
23,-3.977,0.206923
24,-3.976,0.206923
25,-3.975,0.206923
26,-3.974,0.206923
27,-3.973,0.206923
28,-3.972,0.206923
29,-3.971,0.206923
30,-3.97,0.206923
31,-3.969,0.206923
32,-3.968,0.206923
33,-3.967,0.206923
34,-3.966,0.206923
35,-3.965,0.206923
36,-3.964,0.206923
37,-3.963,0.206923
38,-3.962,0.206923
39,-3.961,0.206923
40,-3.96,0.206923
41,-3.959,0.206923
42,-3.958,0.206923
43,-3.957,0.206923
44,-3.956,0.206923
45,-3.955,0.206923
46,-3.954,0.206923
47,-3.953,0.206923
48,-3.952,0.206923
49,-3.951,0.206923
50,-3.95,0.206923
51,-3.949,0.206923
52,-3.948,0.206923
53,-3.947,0.206923
54,-3.946,0.206923
55,-3.945,0.206923
56,-3.944,0.206923
57,-3.943,0.206923
58,-3.942,0.206923
59,-3.941,0.206923
60,-3.94,0.206923
61,-3.939,0.206923
62,-3.938,0.206923
63,-3.937,0.206923
64,-3.936,0.206923
65,-3.935,0.206923
66,-3.934,0.206923
67,-3.933,0.206923
68,-3.932,0.206923
69,-3.931,0.206923
70,-3.93,0.206923
71,-3.929,0.206923
72,-3.928,0.206923
73,-3.927,0.206923
74,-3.926,0.206923
75,-3.925,0.206923
76,-3.924,0.206923
77,-3.923,0.206923
78,-3.922,0.206923
79,-3.921,0.206923
80,-3.92,0.206923
81,-3.919,0.206923
82,-3.918,0.206923
83,-3.917,0.206923
84,-3.916,0.206923
85,-3.915,0.206923
86,-3.914,0.206923
87,-3.913,0.206923
88,-3.912,0.206923
89,-3.911,0.206923
90,-3.91,0.206923
91,-3.909,0.206923
92,-3.908,0.206923
93,-3.907,0.206923
94,-3.906,0.206923
95,-3.905,0.206923
96,-3.904,0.206923
97,-3.903,0.206923
98,-3.902,0.206923
99,-3.901,0.206923
100,-3.9,0.206923
101,-3.899,0.206923
102,-3.898,0.206923
