;Scopy version,f4beeb1
;Exported on,Sunday December 22/12/2024
;Device,M2K
;Nr of samples,106496
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
57701,4.9509,0.216942
57702,4.951,0.216942
57703,4.9511,0.216942
57704,4.9512,0.216942
57705,4.9513,0.216942
57706,4.9514,0.216942
57707,4.9515,0.216942
57708,4.9516,0.216942
57709,4.9517,0.216942
57710,4.9518,0.216942
57711,4.9519,0.216942
57712,4.952,0.216942
57713,4.9521,0.218598
57714,4.9522,0.218598
57715,4.9523,0.218598
57716,4.9524,0.218598
57717,4.9525,0.218598
57718,4.9526,0.218598
57719,4.9527,0.218598
57720,4.9528,0.218598
57721,4.9529,0.218598
57722,4.953,0.218598
57723,4.9531,0.218598
57724,4.9532,0.216942
57725,4.9533,0.216942
57726,4.9534,0.216942
57727,4.9535,0.216942
57728,4.9536,0.216942
57729,4.9537,0.216942
57730,4.9538,0.216942
57731,4.9539,0.216942
57732,4.954,0.216942
57733,4.9541,0.216942
57734,4.9542,0.218598
57735,4.9543,0.218598
57736,4.9544,0.218598
57737,4.9545,0.220254
57738,4.9546,0.216942
57739,4.9547,0.218598
57740,4.9548,0.218598
57741,4.9549,0.218598
57742,4.955,0.218598
57743,4.9551,0.218598
57744,4.9552,0.218598
57745,4.9553,0.218598
57746,4.9554,0.218598
57747,4.9555,0.218598
57748,4.9556,0.218598
57749,4.9557,0.218598
57750,4.9558,0.218598
57751,4.9559,0.218598
57752,4.956,0.218598
57753,4.9561,0.218598
57754,4.9562,0.218598
57755,4.9563,0.218598
57756,4.9564,0.218598
57757,4.9565,0.218598
57758,4.9566,0.218598
57759,4.9567,0.218598
57760,4.9568,0.218598
57761,4.9569,0.218598
57762,4.957,0.218598
57763,4.9571,0.218598
57764,4.9572,0.218598
57765,4.9573,0.216942
57766,4.9574,0.216942
57767,4.9575,0.216942
57768,4.9576,0.216942
57769,4.9577,0.216942
57770,4.9578,0.216942
57771,4.9579,0.216942
57772,4.958,0.216942
57773,4.9581,0.216942
57774,4.9582,0.216942
57775,4.9583,0.218598
57776,4.9584,0.220254
57777,4.9585,0.218598
57778,4.9586,0.218598
57779,4.9587,0.218598
57780,4.9588,0.218598
57781,4.9589,0.218598
57782,4.959,0.218598
57783,4.9591,0.218598
57784,4.9592,0.218598
57785,4.9593,0.218598
57786,4.9594,0.218598
57787,4.9595,0.218598
57788,4.9596,0.218598
57789,4.9597,0.218598
57790,4.9598,0.218598
57791,4.9599,0.218598
57792,4.96,0.218598
57793,4.9601,0.218598
57794,4.9602,0.218598
57795,4.9603,0.218598
57796,4.9604,0.218598
57797,4.9605,0.218598
57798,4.9606,0.218598
57799,4.9607,0.218598
57800,4.9608,0.218598
57801,4.9609,0.218598
57802,4.961,0.218598
57803,4.9611,0.218598
57804,4.9612,0.218598
57805,4.9613,0.218598
57806,4.9614,0.218598
57807,4.9615,0.218598
57808,4.9616,0.218598
57809,4.9617,0.218598
57810,4.9618,0.218598
57811,4.9619,0.218598
57812,4.962,0.218598
57813,4.9621,0.218598
57814,4.9622,0.218598
57815,4.9623,0.218598
57816,4.9624,0.218598
57817,4.9625,0.218598
57818,4.9626,0.218598
57819,4.9627,0.218598
57820,4.9628,0.218598
57821,4.9629,0.218598
57822,4.963,0.218598
57823,4.9631,0.218598
57824,4.9632,0.218598
57825,4.9633,0.218598
57826,4.9634,0.218598
57827,4.9635,0.218598
57828,4.9636,0.218598
57829,4.9637,0.218598
57830,4.9638,0.218598
57831,4.9639,0.218598
57832,4.964,0.218598
57833,4.9641,0.218598
57834,4.9642,0.218598
57835,4.9643,0.218598
57836,4.9644,0.218598
57837,4.9645,0.218598
57838,4.9646,0.218598
57839,4.9647,0.218598
57840,4.9648,0.218598
57841,4.9649,0.218598
57842,4.965,0.218598
57843,4.9651,0.218598
57844,4.9652,0.218598
57845,4.9653,0.218598
57846,4.9654,0.218598
57847,4.9655,0.218598
57848,4.9656,0.218598
57849,4.9657,0.218598
57850,4.9658,0.218598
57851,4.9659,0.218598
57852,4.966,0.218598
57853,4.9661,0.218598
57854,4.9662,0.218598
57855,4.9663,0.218598
57856,4.9664,0.218598
57857,4.9665,0.218598
57858,4.9666,0.218598
57859,4.9667,0.218598
57860,4.9668,0.218598
57861,4.9669,0.218598
57862,4.967,0.218598
57863,4.9671,0.218598
57864,4.9672,0.218598
57865,4.9673,0.218598
57866,4.9674,0.218598
57867,4.9675,0.218598
57868,4.9676,0.218598
57869,4.9677,0.218598
57870,4.9678,0.218598
57871,4.9679,0.218598
57872,4.968,0.218598
57873,4.9681,0.218598
57874,4.9682,0.218598
57875,4.9683,0.218598
57876,4.9684,0.218598
57877,4.9685,0.218598
57878,4.9686,0.218598
57879,4.9687,0.218598
57880,4.9688,0.218598
57881,4.9689,0.218598
57882,4.969,0.218598
57883,4.9691,0.218598
57884,4.9692,0.218598
57885,4.9693,0.218598
57886,4.9694,0.218598
57887,4.9695,0.218598
57888,4.9696,0.218598
57889,4.9697,0.218598
57890,4.9698,0.218598
57891,4.9699,0.218598
57892,4.97,0.218598
57893,4.9701,0.218598
57894,4.9702,0.218598
57895,4.9703,0.218598
57896,4.9704,0.218598
57897,4.9705,0.218598
57898,4.9706,0.218598
57899,4.9707,0.218598
57900,4.9708,0.218598
57901,4.9709,0.218598
57902,4.971,0.218598
57903,4.9711,0.218598
57904,4.9712,0.218598
57905,4.9713,0.218598
57906,4.9714,0.218598
57907,4.9715,0.218598
57908,4.9716,0.218598
57909,4.9717,0.218598
57910,4.9718,0.218598
57911,4.9719,0.218598
57912,4.972,0.218598
57913,4.9721,0.218598
57914,4.9722,0.218598
57915,4.9723,0.218598
57916,4.9724,0.218598
57917,4.9725,0.218598
57918,4.9726,0.218598
57919,4.9727,0.218598
57920,4.9728,0.218598
57921,4.9729,0.218598
57922,4.973,0.218598
57923,4.9731,0.218598
57924,4.9732,0.218598
57925,4.9733,0.218598
57926,4.9734,0.216942
57927,4.9735,0.216942
57928,4.9736,0.216942
57929,4.9737,0.218598
57930,4.9738,0.218598
57931,4.9739,0.216942
57932,4.974,0.216942
57933,4.9741,0.218598
57934,4.9742,0.218598
57935,4.9743,0.218598
57936,4.9744,0.218598
57937,4.9745,0.218598
57938,4.9746,0.218598
57939,4.9747,0.218598
57940,4.9748,0.218598
57941,4.9749,0.218598
57942,4.975,0.218598
57943,4.9751,0.218598
57944,4.9752,0.218598
57945,4.9753,0.218598
57946,4.9754,0.218598
57947,4.9755,0.218598
57948,4.9756,0.218598
57949,4.9757,0.218598
57950,4.9758,0.218598
57951,4.9759,0.218598
57952,4.976,0.218598
57953,4.9761,0.218598
