;Scopy version,f4beeb1
;Exported on,mercredi décembre 11/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4,0.00521655
1,-3.999,0.00521655
2,-3.998,0.00521655
3,-3.997,0.00521655
4,-3.996,0.00521655
5,-3.995,0.00521655
6,-3.994,0.00521655
7,-3.993,0.00521655
8,-3.992,0.00521655
9,-3.991,0.00521655
10,-3.99,0.00521655
11,-3.989,0.00521655
12,-3.988,0.00521655
13,-3.987,0.00521655
14,-3.986,0.00521655
15,-3.985,0.00521655
16,-3.984,0.00521655
17,-3.983,0.00521655
18,-3.982,0.00521655
19,-3.981,0.00521655
20,-3.98,0.00521655
21,-3.979,0.00521655
22,-3.978,0.00521655
23,-3.977,0.00521655
24,-3.976,0.00521655
25,-3.975,0.00521655
26,-3.974,0.00521655
27,-3.973,0.00521655
28,-3.972,0.00521655
29,-3.971,0.00521655
30,-3.97,0.00521655
31,-3.969,0.00521655
32,-3.968,0.00521655
33,-3.967,0.00521655
34,-3.966,0.00521655
35,-3.965,0.00521655
36,-3.964,0.00521655
37,-3.963,0.00521655
38,-3.962,0.00521655
39,-3.961,0.00521655
40,-3.96,0.00521655
41,-3.959,0.00521655
42,-3.958,0.00521655
43,-3.957,0.00521655
44,-3.956,0.00521655
45,-3.955,0.00521655
46,-3.954,0.00521655
47,-3.953,0.00521655
48,-3.952,0.00521655
49,-3.951,0.00521655
50,-3.95,0.00521655
51,-3.949,0.00521655
52,-3.948,0.00521655
53,-3.947,0.00521655
54,-3.946,0.00521655
55,-3.945,0.00521655
56,-3.944,0.00521655
57,-3.943,0.00521655
58,-3.942,0.00521655
59,-3.941,0.00521655
60,-3.94,0.00521655
61,-3.939,0.00521655
62,-3.938,0.00521655
63,-3.937,0.00521655
64,-3.936,0.00521655
65,-3.935,0.00521655
66,-3.934,0.00521655
67,-3.933,0.00521655
68,-3.932,0.00521655
69,-3.931,0.00521655
70,-3.93,0.00521655
71,-3.929,0.00521655
72,-3.928,0.00521655
73,-3.927,0.00521655
74,-3.926,0.00521655
75,-3.925,0.00521655
76,-3.924,0.00521655
77,-3.923,0.00521655
78,-3.922,0.00521655
79,-3.921,0.00521655
80,-3.92,0.00521655
81,-3.919,0.00521655
82,-3.918,0.00521655
83,-3.917,0.00521655
84,-3.916,0.00521655
85,-3.915,0.00521655
86,-3.914,0.00521655
87,-3.913,0.00521655
88,-3.912,0.00521655
89,-3.911,0.00521655
90,-3.91,0.00521655
91,-3.909,0.00521655
92,-3.908,0.00521655
93,-3.907,0.00521655
94,-3.906,0.00521655
95,-3.905,0.00521655
96,-3.904,0.00521655
97,-3.903,0.00521655
98,-3.902,0.00521655
99,-3.901,0.00521655
100,-3.9,0.00521655
101,-3.899,0.00521655
102,-3.898,0.00521655
103,-3.897,0.00521655
104,-3.896,0.00521655
105,-3.895,0.00521655
106,-3.894,0.00521655
107,-3.893,0.00521655
108,-3.892,0.00521655
109,-3.891,0.00521655
110,-3.89,0.00521655
111,-3.889,0.00521655
112,-3.888,0.00521655
113,-3.887,0.00521655
114,-3.886,0.00521655
115,-3.885,0.00521655
116,-3.884,0.00521655
117,-3.883,0.00521655
118,-3.882,0.00521655
119,-3.881,0.00521655
120,-3.88,0.00521655
121,-3.879,0.00521655
122,-3.878,0.00521655
123,-3.877,0.00521655
124,-3.876,0.00521655
125,-3.875,0.00521655
126,-3.874,0.00521655
127,-3.873,0.00521655
128,-3.872,0.00521655
129,-3.871,0.00521655
130,-3.87,0.00521655
131,-3.869,0.00521655
132,-3.868,0.00521655
133,-3.867,0.00521655
134,-3.866,0.00521655
135,-3.865,0.00521655
136,-3.864,0.00521655
137,-3.863,0.00521655
138,-3.862,0.00521655
139,-3.861,0.00521655
140,-3.86,0.00521655
141,-3.859,0.00521655
142,-3.858,0.00521655
143,-3.857,0.00521655
144,-3.856,0.00521655
145,-3.855,0.00521655
146,-3.854,0.00521655
147,-3.853,0.00521655
148,-3.852,0.00521655
149,-3.851,0.00521655
150,-3.85,0.00521655
151,-3.849,0.00521655
152,-3.848,0.00521655
153,-3.847,0.00521655
154,-3.846,0.00521655
155,-3.845,0.00521655
156,-3.844,0.00521655
157,-3.843,0.00521655
158,-3.842,0.00521655
159,-3.841,0.00521655
160,-3.84,0.00521655
161,-3.839,0.00521655
162,-3.838,0.00521655
163,-3.837,0.00521655
164,-3.836,0.00521655
165,-3.835,0.00521655
166,-3.834,0.00521655
167,-3.833,0.00521655
168,-3.832,0.00521655
169,-3.831,0.00521655
170,-3.83,0.00521655
171,-3.829,0.00521655
172,-3.828,0.00521655
173,-3.827,0.00521655
174,-3.826,0.00521655
175,-3.825,0.00521655
176,-3.824,0.00521655
177,-3.823,0.00521655
178,-3.822,0.00521655
179,-3.821,0.00521655
180,-3.82,0.00521655
181,-3.819,0.00521655
182,-3.818,0.00521655
183,-3.817,0.00521655
184,-3.816,0.00521655
185,-3.815,0.00521655
186,-3.814,0.00521655
187,-3.813,0.00521655
188,-3.812,0.00521655
189,-3.811,0.00521655
190,-3.81,0.00521655
191,-3.809,0.00521655
192,-3.808,0.00521655
193,-3.807,0.00521655
194,-3.806,0.00521655
195,-3.805,0.00521655
196,-3.804,0.00521655
197,-3.803,0.00521655
198,-3.802,0.00521655
199,-3.801,0.00521655
200,-3.8,0.00521655
201,-3.799,0.00521655
202,-3.798,0.00521655
203,-3.797,0.00521655
204,-3.796,0.00521655
205,-3.795,0.00521655
206,-3.794,0.00521655
207,-3.793,0.00521655
208,-3.792,0.00521655
209,-3.791,0.00521655
210,-3.79,0.00521655
211,-3.789,0.00521655
