;Scopy version,f4beeb1
;Exported on,Sunday December 22/12/2024
;Device,M2K
;Nr of samples,65536
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.113814
1,-0.8191,0.113814
2,-0.819,0.113814
3,-0.8189,0.113814
4,-0.8188,0.113814
5,-0.8187,0.113814
6,-0.8186,0.113814
7,-0.8185,0.113814
8,-0.8184,0.113814
9,-0.8183,0.113814
10,-0.8182,0.113814
11,-0.8181,0.113814
12,-0.818,0.113814
13,-0.8179,0.113814
14,-0.8178,0.113814
15,-0.8177,0.113814
16,-0.8176,0.113814
17,-0.8175,0.113814
18,-0.8174,0.113814
19,-0.8173,0.113814
20,-0.8172,0.113814
21,-0.8171,0.113814
22,-0.817,0.113814
23,-0.8169,0.113814
24,-0.8168,0.113814
25,-0.8167,0.113814
26,-0.8166,0.113814
27,-0.8165,0.113814
28,-0.8164,0.113814
29,-0.8163,0.113814
30,-0.8162,0.113814
31,-0.8161,0.113814
32,-0.816,0.113814
33,-0.8159,0.113814
34,-0.8158,0.113814
35,-0.8157,0.113814
36,-0.8156,0.112158
37,-0.8155,0.112158
38,-0.8154,0.112158
39,-0.8153,0.112158
40,-0.8152,0.112158
41,-0.8151,0.112158
42,-0.815,0.112158
43,-0.8149,0.112158
44,-0.8148,0.112158
45,-0.8147,0.112158
46,-0.8146,0.112158
47,-0.8145,0.112158
48,-0.8144,0.112158
49,-0.8143,0.112158
50,-0.8142,0.112158
51,-0.8141,0.112158
52,-0.814,0.112158
53,-0.8139,0.112158
54,-0.8138,0.112158
55,-0.8137,0.113814
56,-0.8136,0.112158
57,-0.8135,0.112158
58,-0.8134,0.112158
59,-0.8133,0.112158
60,-0.8132,0.112158
61,-0.8131,0.112158
62,-0.813,0.112158
63,-0.8129,0.112158
64,-0.8128,0.112158
65,-0.8127,0.112158
66,-0.8126,0.112158
67,-0.8125,0.112158
68,-0.8124,0.113814
69,-0.8123,0.113814
70,-0.8122,0.113814
71,-0.8121,0.113814
72,-0.812,0.113814
73,-0.8119,0.112158
74,-0.8118,0.112158
75,-0.8117,0.112158
76,-0.8116,0.112158
77,-0.8115,0.112158
78,-0.8114,0.112158
79,-0.8113,0.112158
80,-0.8112,0.112158
81,-0.8111,0.112158
82,-0.811,0.112158
83,-0.8109,0.112158
84,-0.8108,0.11547
85,-0.8107,0.118782
86,-0.8106,0.120438
87,-0.8105,0.12375
88,-0.8104,0.125406
89,-0.8103,0.125406
90,-0.8102,0.12375
91,-0.8101,0.128718
92,-0.81,0.128718
93,-0.8099,0.128718
94,-0.8098,0.128718
95,-0.8097,0.128718
96,-0.8096,0.128718
97,-0.8095,0.128718
98,-0.8094,0.128718
99,-0.8093,0.128718
100,-0.8092,0.128718
101,-0.8091,0.128718
102,-0.809,0.128718
103,-0.8089,0.128718
