;Scopy version,f4beeb1
;Exported on,Sunday December 22/12/2024
;Device,M2K
;Nr of samples,122880
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.00189756
1,-0.8191,0.00189756
2,-0.819,0.00189756
3,-0.8189,0.00189756
4,-0.8188,0.00189756
5,-0.8187,0.00189756
6,-0.8186,0.00189756
7,-0.8185,0.00189756
8,-0.8184,0.00189756
9,-0.8183,0.00189756
10,-0.8182,0.00189756
11,-0.8181,0.00189756
12,-0.818,0.00189756
13,-0.8179,0.00189756
14,-0.8178,0.00189756
15,-0.8177,0.00189756
16,-0.8176,0.00189756
17,-0.8175,0.00189756
18,-0.8174,0.00189756
19,-0.8173,0.00189756
20,-0.8172,0.00189756
21,-0.8171,0.00189756
22,-0.817,0.00189756
23,-0.8169,0.00189756
24,-0.8168,0.00189756
25,-0.8167,0.00189756
26,-0.8166,0.00189756
27,-0.8165,0.00189756
28,-0.8164,0.00189756
29,-0.8163,0.00189756
30,-0.8162,0.00189756
31,-0.8161,0.00189756
32,-0.816,0.00189756
33,-0.8159,0.00189756
34,-0.8158,0.00189756
35,-0.8157,0.00189756
36,-0.8156,0.00189756
37,-0.8155,0.00189756
38,-0.8154,0.00189756
39,-0.8153,0.00189756
40,-0.8152,0.00189756
41,-0.8151,0.00189756
42,-0.815,0.00189756
43,-0.8149,0.00189756
44,-0.8148,0.00189756
45,-0.8147,0.00189756
46,-0.8146,0.00189756
47,-0.8145,0.00189756
48,-0.8144,0.00189756
49,-0.8143,0.00189756
50,-0.8142,0.00189756
51,-0.8141,0.00189756
52,-0.814,0.00189756
53,-0.8139,0.00189756
54,-0.8138,0.00189756
55,-0.8137,0.00189756
56,-0.8136,0.00189756
57,-0.8135,0.00189756
58,-0.8134,0.00189756
59,-0.8133,0.00189756
60,-0.8132,0.00189756
61,-0.8131,0.00189756
62,-0.813,0.00189756
63,-0.8129,0.00189756
64,-0.8128,0.00189756
65,-0.8127,0.00189756
66,-0.8126,0.00189756
67,-0.8125,0.00189756
68,-0.8124,0.00189756
69,-0.8123,0.00189756
70,-0.8122,0.00189756
71,-0.8121,0.00189756
72,-0.812,0.00189756
73,-0.8119,0.00189756
74,-0.8118,0.00189756
75,-0.8117,0.00189756
76,-0.8116,0.00189756
77,-0.8115,0.00189756
78,-0.8114,0.00189756
79,-0.8113,0.00189756
80,-0.8112,0.00189756
81,-0.8111,0.00189756
82,-0.811,0.00189756
83,-0.8109,0.00189756
84,-0.8108,0.00189756
85,-0.8107,0.00189756
86,-0.8106,0.00189756
87,-0.8105,0.00189756
88,-0.8104,0.00189756
89,-0.8103,0.00189756
90,-0.8102,0.00189756
91,-0.8101,0.00189756
92,-0.81,0.00189756
93,-0.8099,0.00189756
94,-0.8098,0.00189756
95,-0.8097,0.00189756
96,-0.8096,0.00189756
97,-0.8095,0.00189756
98,-0.8094,0.00189756
99,-0.8093,0.00189756
100,-0.8092,0.00189756
101,-0.8091,0.00189756
102,-0.809,0.00189756
103,-0.8089,0.00189756
104,-0.8088,0.00189756
105,-0.8087,0.00189756
106,-0.8086,0.00189756
107,-0.8085,0.00189756
108,-0.8084,0.00189756
109,-0.8083,0.00189756
110,-0.8082,0.00189756
111,-0.8081,0.00189756
112,-0.808,0.00189756
113,-0.8079,0.00189756
114,-0.8078,0.00189756
115,-0.8077,0.00189756
116,-0.8076,0.00189756
117,-0.8075,0.00189756
118,-0.8074,0.00189756
119,-0.8073,0.00189756
120,-0.8072,0.00189756
121,-0.8071,0.00189756
122,-0.807,0.00189756
123,-0.8069,0.00189756
124,-0.8068,0.00189756
125,-0.8067,0.00189756
126,-0.8066,0.00189756
127,-0.8065,0.00189756
128,-0.8064,0.00189756
129,-0.8063,0.00189756
130,-0.8062,0.00189756
131,-0.8061,0.00189756
132,-0.806,0.00189756
133,-0.8059,0.00189756
134,-0.8058,0.00189756
135,-0.8057,0.00189756
136,-0.8056,0.00189756
137,-0.8055,0.00189756
138,-0.8054,0.00189756
139,-0.8053,0.00189756
140,-0.8052,0.00189756
141,-0.8051,0.00189756
142,-0.805,0.00189756
143,-0.8049,0.00189756
144,-0.8048,0.00189756
145,-0.8047,0.00189756
146,-0.8046,0.00189756
147,-0.8045,0.00189756
148,-0.8044,0.00189756
149,-0.8043,0.00189756
150,-0.8042,0.00189756
151,-0.8041,0.00189756
152,-0.804,0.00189756
153,-0.8039,0.00189756
154,-0.8038,0.00189756
155,-0.8037,0.00189756
156,-0.8036,0.00189756
157,-0.8035,0.00189756
158,-0.8034,0.00189756
159,-0.8033,0.00189756
160,-0.8032,0.00189756
161,-0.8031,0.00189756
162,-0.803,0.00189756
163,-0.8029,0.00189756
164,-0.8028,0.00189756
165,-0.8027,0.00189756
166,-0.8026,0.00189756
167,-0.8025,0.00189756
168,-0.8024,0.00189756
169,-0.8023,0.00189756
170,-0.8022,0.00189756
171,-0.8021,0.00189756
172,-0.802,0.00189756
173,-0.8019,0.00189756
174,-0.8018,0.00189756
175,-0.8017,0.00189756
176,-0.8016,0.00189756
177,-0.8015,0.00189756
178,-0.8014,0.00189756
179,-0.8013,0.00189756
180,-0.8012,0.00189756
181,-0.8011,0.00189756
182,-0.801,0.00189756
183,-0.8009,0.00189756
184,-0.8008,0.00189756
185,-0.8007,0.00189756
186,-0.8006,0.00189756
187,-0.8005,0.00189756
188,-0.8004,0.00189756
189,-0.8003,0.00189756
190,-0.8002,0.00189756
191,-0.8001,0.00189756
192,-0.8,0.00189756
193,-0.7999,0.00189756
194,-0.7998,0.00189756
195,-0.7997,0.00189756
196,-0.7996,0.00189756
197,-0.7995,0.00189756
198,-0.7994,0.00189756
199,-0.7993,0.00189756
200,-0.7992,0.00189756
201,-0.7991,0.00189756
202,-0.799,0.00189756
203,-0.7989,0.00189756
204,-0.7988,0.00189756
205,-0.7987,0.00189756
206,-0.7986,0.00189756
207,-0.7985,0.00189756
208,-0.7984,0.00189756
209,-0.7983,0.00189756
210,-0.7982,0.00189756
211,-0.7981,0.00189756
212,-0.798,0.00189756
213,-0.7979,0.00189756
214,-0.7978,0.00189756
215,-0.7977,0.00189756
216,-0.7976,0.00189756
217,-0.7975,0.00189756
218,-0.7974,0.00189756
219,-0.7973,0.00189756
220,-0.7972,0.00189756
221,-0.7971,0.00189756
222,-0.797,0.00189756
223,-0.7969,0.00189756
224,-0.7968,0.00189756
225,-0.7967,0.00189756
226,-0.7966,0.00189756
227,-0.7965,0.00189756
228,-0.7964,0.00189756
229,-0.7963,0.00189756
230,-0.7962,0.00189756
231,-0.7961,0.00189756
232,-0.796,0.00189756
233,-0.7959,0.00189756
234,-0.7958,0.00189756
235,-0.7957,0.00189756
236,-0.7956,0.00189756
237,-0.7955,0.00189756
238,-0.7954,0.00189756
239,-0.7953,0.00189756
240,-0.7952,0.00189756
241,-0.7951,0.00189756
242,-0.795,0.00189756
243,-0.7949,0.00189756
244,-0.7948,0.00189756
