txp,snr_int,snr_avg,num_packets,num_invalid,per
-30,6,6.65,5,5.0,1.0
-29,6,6.548333333333333,12,12.0,1.0
-28,6,6.472307692307693,13,13.0,1.0
-27,6,6.358333333333333,6,5.0,0.8333333333333334
-26,6,6.413076923076924,13,11.0,0.8461538461538461
-25,7,7.530803571428572,112,92.0,0.8214285714285714
-24,7,7.509897959183673,98,82.0,0.8367346938775511
-23,8,8.95125,8,7.0,0.875
-23,9,9.25946462715105,523,435.0,0.8317399617590823
-22,10,10.921351351351351,37,37.0,1.0
-22,11,11.166066350710901,844,844.0,1.0
-21,12,12.56642182581322,953,953.0,1.0
-20,12,12.99,1,1.0,1.0
-20,13,13.323256784968684,958,957.0,0.9989561586638831
-19,15,15.290508130081301,984,99.0,0.10060975609756098
-18,16,16.946772151898735,790,18.0,0.02278481012658228
-18,17,17.017871287128713,202,7.0,0.034653465346534656
-17,17,17.49793731041456,989,18.0,0.01820020222446916
-16,19,19.58011282051282,975,14.0,0.014358974358974359
-15,20,20.65264705882353,986,5.0,0.005070993914807302
-14,21,21.286904276985744,982,9.0,0.009164969450101833
-13,22,22.69092762487258,981,4.0,0.004077471967380225
-12,23,23.975373134328358,469,3.0,0.006396588486140725
-11,25,25.085180226570547,971,8.0,0.008238928939237899
-10,25,25.906965376782075,982,5.0,0.0050916496945010185
